replicate,timepoint,phage,host,infectivity,resistance
2.11,t1,1,1,1,0
2.11,t1,2,2,1,0
2.11,t1,3,3,1,0
2.11,t1,4,4,1,0
2.11,t1,5,5,1,0
2.11,t1,6,6,1,0
2.11,t1,7,7,1,0
2.11,t1,8,8,1,0
2.11,t1,9,9,1,0
2.11,t1,10,10,1,0
2.11,t1,11,11,1,0
2.11,t1,12,12,1,0
2.11,t4,1,1,1,0
2.11,t4,2,2,1,0
2.11,t4,3,3,1,0
2.11,t4,4,4,1,0
2.11,t4,5,5,1,0
2.11,t4,6,6,1,0
2.11,t4,7,7,1,0
2.11,t4,8,8,1,0
2.11,t4,9,9,1,0
2.11,t4,10,10,1,0
2.11,t4,11,11,1,0
2.11,t4,12,12,1,0
2.11,t9,1,1,0.583333333,0.555555556
2.11,t9,2,2,0.416666667,0.527777778
2.11,t9,3,3,0.361111111,0.555555556
2.11,t9,4,4,0.388888889,0.416666667
2.11,t9,5,5,0.444444444,0.666666667
2.11,t9,6,6,0.527777778,0.583333333
2.11,t9,7,7,0.416666667,0.527777778
2.11,t9,8,8,0.333333333,0.583333333
2.11,t9,9,9,0.388888889,0.583333333
2.11,t9,10,10,0.472222222,0.5
2.11,t9,11,11,0.388888889,0.666666667
2.11,t9,12,12,0.472222222,0.638888889
